ZIP,latitude,longitude,city,state,county,population_2010,population_2020
87801,34.0479,-106.8907,Socorro,NM,Socorro,10221,9934
87820,33.8859,-108.5466,Aragon,NM,Catron,161,137
87821,34.0427,-108.0183,Datil,NM,Catron,672,640
87823,34.156,-106.9044,Lemitar,NM,Socorro,884,589
87824,33.8189,-108.9545,Luna,NM,Catron,194,219
87825,34.1114,-107.2409,Magdalena,NM,Socorro,2999,2802
87827,34.3243,-108.3682,Pie Town,NM,Catron,276,354
87828,34.2059,-106.9167,Polvadera,NM,Socorro,429,279
87829,34.2652,-108.7578,Quemado,NM,Catron,922,856
87830,33.7131,-108.7578,Reserve,NM,Catron,999,854
87831,34.2283,-106.9049,San Acacia,NM,Socorro,195,180
87832,33.819,-106.8285,San Antonio,NM,Socorro,600,520
87901,33.1606,-107.2669,Truth Or Consequences,NM,Sierra,7139,6515
87930,32.8487,-107.3192,Arrey,NM,Sierra,829,834
87931,32.9641,-107.4102,Caballo,NM,Sierra,634,633
87933,32.7881,-107.2822,Derry,NM,Sierra,106,50
87935,33.209,-107.2212,Elephant Butte,NM,Sierra,1770,1817
87936,32.7557,-107.2704,Garfield,NM,Doña Ana,515,433
87937,32.6583,-107.159,Hatch,NM,Doña Ana,3303,3009
87939,33.397,-107.4509,Monticello,NM,Sierra,125,107
87940,32.6597,-107.0643,Rincon,NM,Doña Ana,669,450
87941,32.7093,-107.2157,Salem,NM,Doña Ana,1216,959
87942,33.1171,-107.2915,Williamsburg,NM,Sierra,898,1040
87943,33.3061,-107.6675,Winston,NM,Sierra,228,235
88001,32.2901,-106.7539,Las Cruces,NM,Doña Ana,37484,36831
88002,32.3839,-106.4937,White Sands Missile Range,NM,Doña Ana,1656,940
88003,32.2738,-106.7472,Las Cruces,NM,Doña Ana,894,495
88004,32.4181,-106.8201,Las Cruces,NM,Doña Ana,699,605
88005,32.3161,-106.7991,Las Cruces,NM,Doña Ana,27116,26997
88007,32.3224,-106.8041,Las Cruces,NM,Doña Ana,24048,24803
88008,31.8394,-106.6821,Santa Teresa,NM,Doña Ana,5747,10239
88009,32.055,-108.6291,Playas,NM,Hidalgo,88,25
88011,32.3244,-106.6683,Las Cruces,NM,Doña Ana,27698,32885
88012,32.5835,-106.7714,Las Cruces,NM,Doña Ana,25961,32550
88020,32.053,-108.9069,Animas,NM,Hidalgo,882,704
88021,32.004,-106.6058,Anthony,NM,Doña Ana,18421,16431
88022,32.7839,-108.1854,Arenas Valley,NM,Grant,1343,1098
88023,32.7617,-108.1306,Bayard,NM,Grant,2406,2206
88024,32.0682,-106.631,Berino,NM,Doña Ana,236,469
88025,33.0633,-108.6956,Buckhorn,NM,Grant,256,227
88026,32.7795,-108.1503,Santa Clara,NM,Grant,1658,1590
88027,32.0401,-106.6856,Chamberino,NM,Doña Ana,493,683
88028,32.9623,-108.6112,Cliff,NM,Grant,492,481
88029,31.8276,-107.64,Columbus,NM,Luna,1873,1591
88030,32.2318,-107.7466,Deming,NM,Luna,23222,23831
88034,32.5642,-108.0242,Faywood,NM,Grant,96,81
88038,32.9659,-108.5767,Gila,NM,Grant,431,380
88039,33.3048,-108.7743,Glenwood,NM,Catron,465,402
88040,31.8904,-108.3316,Hachita,NM,Grant,116,96
88041,32.8045,-107.9545,Hanover,NM,Grant,1243,954
88042,32.9239,-107.6276,Hillsboro,NM,Sierra,250,353
88043,32.648,-108.1516,Hurley,NM,Grant,1621,1525
88044,32.1383,-106.7999,La Mesa,NM,Doña Ana,3896,3289
88045,32.316,-108.723,Lordsburg,NM,Hidalgo,3662,3222
88046,32.268,-106.8059,Mesilla,NM,Doña Ana,697,718
88047,32.21,-106.7147,Mesilla Park,NM,Doña Ana,1967,1897
88048,32.146,-106.6676,Mesquite,NM,Doña Ana,3862,3931
88049,32.909,-108.0332,Mimbres,NM,Grant,408,973
88051,33.1071,-108.9032,Mule Creek,NM,Grant,94,112
88052,32.4259,-106.6136,Organ,NM,Doña Ana,270,291
88053,32.8614,-108.2192,Pinos Altos,NM,Grant,133,269
88055,32.6862,-108.7381,Redrock,NM,Grant,37,44
88056,31.8358,-109.0322,Rodeo,NM,Hidalgo,233,237
88061,32.79,-108.2749,Silver City,NM,Grant,18585,17429
88063,31.8186,-106.5997,Sunland Park,NM,Doña Ana,12799,11408
88065,32.7098,-108.302,Tyrone,NM,Grant,624,715
88072,32.1187,-106.649,Vado,NM,Doña Ana,2501,2563
88081,32.2239,-106.2631,Chaparral,NM,Otero,15708,18079
88101,34.4126,-103.2214,Clovis,NM,Curry,45006,45651
88103,34.3841,-103.3154,Cannon Afb,NM,Curry,278,35
88112,34.804,-103.1292,Broadview,NM,Curry,123,128
88113,33.7781,-103.0865,Causey,NM,Roosevelt,103,75
88114,33.5272,-103.3564,Crossroads,NM,Lea,35,54
88115,33.9387,-103.3366,Dora,NM,Roosevelt,44,26
88116,33.9405,-103.6323,Elida,NM,Roosevelt,455,460
88118,34.252,-103.5827,Floyd,NM,Roosevelt,180,216
88119,34.46,-104.2317,Fort Sumner,NM,DeBaca,1932,1582
88120,34.8107,-103.298,Grady,NM,Curry,239,217
88121,34.6952,-103.9203,House,NM,Quay,152,135
88124,34.4479,-103.6325,Melrose,NM,Curry,1165,1043
88125,33.605,-103.2782,Milnesand,NM,Roosevelt,90,44
88126,33.8362,-103.3355,Pep,NM,Roosevelt,30,45
88130,34.1799,-103.3363,Portales,NM,Roosevelt,18651,18027
88132,33.9216,-103.1898,Rogers,NM,Roosevelt,199,229
88134,34.3271,-104.0159,Taiban,NM,DeBaca,46,92
88135,34.3958,-103.0615,Texico,NM,Curry,1804,1576
88136,34.455,-104.7452,Yeso,NM,DeBaca,44,58
88201,33.6397,-104.3748,Roswell,NM,Chaves,25490,26471
88203,33.3718,-104.5284,Roswell,NM,Chaves,31561,30162
88210,32.8384,-104.4074,Artesia,NM,Eddy,17217,18571
88220,32.4119,-104.2395,Carlsbad,NM,Eddy,33725,40762
88230,33.191,-104.3833,Dexter,NM,Chaves,5179,4658
88231,32.4392,-103.1594,Eunice,NM,Lea,3238,3339
88232,33.1076,-104.3298,Hagerman,NM,Chaves,2525,3026
88240,32.7222,-103.1372,Hobbs,NM,Lea,37149,42386
88242,32.8105,-103.1587,Hobbs,NM,Lea,6141,8126
88250,32.8156,-104.7299,Hope,NM,Eddy,270,300
88252,32.1128,-103.1997,Jal,NM,Lea,2160,2327
88253,32.9982,-104.3666,Lake Arthur,NM,Chaves,935,961
88254,32.6362,-104.365,Lakewood,NM,Eddy,191,183
88255,32.819,-103.9777,Loco Hills,NM,Eddy,128,79
88256,32.274,-104.0914,Loving,NM,Eddy,1925,1974
88260,32.9512,-103.3488,Lovington,NM,Lea,14343,15569
88262,33.1407,-103.3174,Mcdonald,NM,Lea,30,33
88263,32.1813,-104.0668,Malaga,NM,Eddy,175,169
88264,32.8562,-103.7627,Maljamar,NM,Lea,39,48
88265,32.5874,-103.2703,Monument,NM,Lea,243,252
88267,33.26,-103.314,Tatum,NM,Lea,1349,1074
88268,32.1757,-104.3766,Whites City,NM,Eddy,7,9
88301,33.6496,-105.8696,Carrizozo,NM,Lincoln,1386,1341
88310,32.8932,-105.9485,Alamogordo,NM,Otero,35776,35935
88311,32.8995,-105.9603,Alamogordo,NM,Otero,854,951
88312,33.4314,-105.6776,Alto,NM,Lincoln,2586,2735
88314,33.148,-105.8635,Bent,NM,Otero,210,215
88316,33.5602,-105.5269,Capitan,NM,Lincoln,2351,2304
88317,32.8897,-105.6744,Cloudcroft,NM,Otero,1751,1953
88318,34.1693,-105.5339,Corona,NM,Lincoln,381,352
88321,34.615,-105.4839,Encino,NM,Torrance,187,146
88323,33.4959,-105.523,Fort Stanton,NM,Lincoln,14,23
88324,33.3898,-105.4391,Glencoe,NM,Lincoln,210,100
88325,32.9396,-105.8189,High Rolls Mountain Park,NM,Otero,899,949
88330,32.8366,-106.0774,Holloman Air Force Base,NM,Otero,3054,3810
88336,33.3876,-105.2708,Hondo,NM,Lincoln,267,313
88337,32.9774,-105.9534,La Luz,NM,Otero,2295,2325
88338,33.4869,-105.382,Lincoln,NM,Lincoln,189,189
88339,32.907,-105.5181,Mayhill,NM,Otero,618,768
88340,33.2164,-105.7743,Mescalero,NM,Otero,3616,4022
88341,33.4996,-105.7036,Nogal,NM,Lincoln,538,650
88342,32.3712,-106.0844,Orogrande,NM,Otero,52,35
88343,33.3518,-105.145,Picacho,NM,Lincoln,48,58
88344,32.6396,-105.4157,Pinon,NM,Otero,159,145
88345,33.3474,-105.651,Ruidoso,NM,Lincoln,8845,8423
88346,33.3577,-105.5383,Ruidoso Downs,NM,Lincoln,3132,3128
88347,32.8052,-105.6211,Sacramento,NM,Otero,100,149
88348,33.3877,-105.3498,San Patricio,NM,Lincoln,314,394
88349,32.8672,-105.7811,Sunspot,NM,Otero,70,22
88350,32.6295,-105.6945,Timberon,NM,Otero,368,349
88351,33.3706,-105.2264,Tinnie,NM,Lincoln,256,165
88352,33.065,-106.0108,Tularosa,NM,Otero,5188,4747
88353,34.6241,-105.1926,Vaughn,NM,Guadalupe,473,305
88354,32.8052,-105.5063,Weed,NM,Otero,108,103
88355,33.3305,-105.6933,Ruidoso,NM,Lincoln,29,152
88401,35.168,-103.7179,Tucumcari,NM,Quay,6944,6813
88410,35.8983,-103.213,Amistad,NM,Union,129,92
88411,35.1303,-103.1605,Bard,NM,Quay,82,78
88414,36.7785,-103.9986,Capulin,NM,Union,39,50
88415,36.4414,-103.1888,Clayton,NM,Union,3569,3194
88416,35.3786,-104.2052,Conchas Dam,NM,San Miguel,189,206
88417,35.0312,-104.4086,Cuervo,NM,Guadalupe,25,80
88418,36.7291,-103.8739,Des Moines,NM,Union,294,303
88419,36.869,-103.8399,Folsom,NM,Union,229,183
88421,35.3502,-104.4419,Garita,NM,San Miguel,19,45
88422,36.3048,-103.973,Gladstone,NM,Union,68,43
88424,36.3698,-103.5055,Grenville,NM,Union,128,121
88426,35.3681,-103.4383,Logan,NM,Quay,1212,1204
88427,34.6923,-103.7764,Mcalister,NM,Quay,119,150
88430,35.618,-103.1317,Nara Visa,NM,Quay,162,90
88431,35.0847,-104.2433,Newkirk,NM,Guadalupe,49,37
88434,35.1198,-103.2846,San Jon,NM,Quay,369,303
88435,34.8526,-104.5899,Santa Rosa,NM,Guadalupe,3559,3593
88436,36.226,-103.1449,Sedan,NM,Union,185,134
89001,37.3259,-115.308,Alamo,NV,Lincoln,1224,876
89002,36.0008,-114.9588,Henderson,NV,Clark,31880,37603
89003,36.8199,-116.6094,Beatty,NV,Nye,1032,902
89004,36.0464,-115.4039,Blue Diamond,NV,Clark,313,266
89005,35.9727,-114.8344,Boulder City,NV,Clark,15065,14941
89007,36.7684,-114.1281,Bunkerville,NV,Clark,1351,1142
89008,37.6128,-114.5097,Caliente,NV,Lincoln,1508,1242
89010,37.7776,-118.084,Dyer,NV,Esmeralda,415,333
89011,36.1065,-114.9192,Henderson,NV,Clark,19550,34456
89012,36.0119,-115.0433,Henderson,NV,Clark,29085,35211
